crc,take_type,allo_block,use_type,in_gw_allo,max_rate_crc,from_date,to_date,daily_vol,feav,from_month,to_month,crc_status
CRC051182,Take Groundwater,A,irrigation,True,11.0,2005-02-03,2040-02-02,910.82,81972.0,7,6,Issued - Active
CRC051278,Take Groundwater,A,irrigation,True,87.0,2005-10-28,2040-10-26,7516.8,547500.0,7,6,Issued - Active
CRC052582.2,Take Groundwater,A,irrigation,True,62.0,2010-04-26,2038-12-22,5363.0,657000.0,7,6,Issued - Active
CRC052646.1,Take Groundwater,A,irrigation,True,31.0,2009-03-27,2040-09-23,2666.43,266750.0,7,6,Issued - Active
CRC054382.1,Take Groundwater,A,irrigation,True,130.01,2012-10-16,2020-06-29,11232.86,308603.0,7,6,Issued - Active
CRC054610.1,Take Groundwater,A,irrigation,True,86.0,2012-09-20,2020-06-29,7430.0,216370.0,7,6,Issued - Active
CRC060738.1,Take Groundwater,A,irrigation,True,21.0,2011-08-31,2028-08-31,1250.0,127240.0,7,6,Issued - Active
CRC063212,Take Groundwater,A,irrigation,True,6.5,2014-05-27,2024-05-27,561.6,2585.0,7,6,Issued - Active
CRC064232,Take Groundwater,A,irrigation,True,88.0,2014-05-27,2024-05-27,6336.0,19091.0,7,6,Issued - Inactive
CRC080795,Take Groundwater,A,irrigation,True,9.5,2008-02-22,2036-12-20,219.86,49516.0,7,6,Issued - Active
CRC081224,Take Surface Water,B,irrigation,False,130.0,2010-10-22,2020-10-20,11232.0,1657500.0,7,6,Issued - Active
CRC110621,Take Groundwater,A,irrigation,True,12.5,2010-09-29,2037-08-23,990.0,85580.0,7,6,Issued - Active
CRC111089.1,Take Groundwater,A,irrigation,True,10.0,2011-05-30,2037-08-23,864.0,38900.0,7,6,Issued - Active
CRC120763,Take Groundwater,A,irrigation,True,20.0,2011-11-09,2037-03-21,1522.57,155142.0,7,6,Issued - Active
CRC122027,Take Groundwater,A,irrigation,True,4.99,2012-05-01,2037-08-23,396.0,46680.0,7,6,Issued - Active
CRC122521,Take Surface Water,A,stockwater,False,20.0,2013-01-17,2032-02-27,1728.0,259200.0,7,6,Issued - Active
CRC122704,Take Groundwater,A,stockwater,True,4.5,2012-07-26,2022-07-26,47.5,14250.0,7,6,Issued - Active
CRC122886,Take Groundwater,A,irrigation,True,2.25,2012-09-30,2022-08-30,75.0,21750.0,7,6,Issued - Active
CRC132046,Take Groundwater,A,irrigation,True,255.7,2012-11-08,2038-07-21,22092.48,2374320.0,7,6,Issued - Active
CRC134426,Take Surface Water,A,stockwater,False,7.7,2013-09-26,2038-02-01,235.0,85775.0,7,6,Issued - Active
CRC140903,Take Groundwater,A,irrigation,True,129.0,2013-06-27,2038-08-12,5097.67,2208994.0,7,6,Issued - Active
CRC143559,Take Groundwater,A,irrigation,True,41.4,2014-02-12,2035-07-11,1142.86,290915.0,7,6,Issued - Active
CRC144494,Take Groundwater,A,irrigation,True,53.0,2014-10-17,2039-05-18,2142.86,218771.0,7,6,Issued - Active
CRC144570,Take Groundwater,A,irrigation,True,11.5,2013-09-25,2036-12-20,952.0,117753.0,7,6,Issued - Active
CRC145502,Take Groundwater,A,other,True,155.0,2014-05-13,2039-05-03,13392.0,1260553.0,7,6,Issued - Active
CRC145860,Take Groundwater,A,irrigation,True,35.0,2013-10-31,2021-08-24,2520.0,221329.0,7,6,Issued - Active
CRC146145,Take Groundwater,A,irrigation,True,10.0,2014-06-26,2037-07-15,201.6,42739.0,7,6,Issued - Active
CRC150344,Take Groundwater,A,irrigation,True,191.99,2014-06-12,2038-03-31,16587.94,1594805.0,7,6,Issued - Active
CRC151569,Take Surface Water,A,irrigation,False,60.0,2014-07-25,2030-07-25,5184.0,576458.0,7,6,Issued - Active
CRC151902,Take Groundwater,A,irrigation,True,28.0,2014-08-18,2028-06-30,2028.57,280966.0,7,6,Issued - Active
CRC151905,Take Groundwater,A,irrigation,True,40.0,2014-08-18,2038-01-21,3280.57,408230.0,7,6,Issued - Active
CRC152538,Take Groundwater,A,industrial,True,4.9,2014-12-22,2040-12-09,40.0,14600.0,7,6,Issued - Active
CRC152835,Take Groundwater,A,irrigation,True,105.0,2014-10-31,2040-09-23,9072.0,924350.0,7,6,Issued - Active
CRC153080,Take Groundwater,A,industrial,True,45.0,2014-12-12,2036-01-19,3628.86,349050.0,7,6,Issued - Active
CRC154477,Take Groundwater,A,irrigation,True,170.0,2015-03-04,2038-08-12,9676.86,1825120.0,7,6,Issued - Active
CRC154478,Take Groundwater,A,irrigation,True,90.0,2015-03-04,2038-08-12,6480.0,1144800.0,7,6,Issued - Active
CRC154547,Take Groundwater,A,irrigation,True,100.0,2015-02-19,2025-05-11,8640.0,670000.0,7,6,Issued - Active
CRC154761,Take Groundwater,A,irrigation,True,5.0,2014-12-08,2037-12-03,432.0,60645.0,7,6,Issued - Active
CRC155220,Take Groundwater,A,irrigation,True,38.0,2001-03-07,2034-10-19,3009.59,339087.0,7,6,Issued - Active
CRC156173,Take Groundwater,A,irrigation,True,121.0,2015-06-12,2020-06-29,10454.4,224168.0,7,6,Issued - Inactive
CRC156174,Take Groundwater,A,irrigation,True,28.0,2015-06-12,2020-06-29,2419.17,148180.0,7,6,Issued - Active
CRC156648,Take Groundwater,A,irrigation,True,91.0,2015-04-16,2032-06-25,7862.4,791247.0,7,6,Issued - Active
CRC157702,Take Groundwater,A,irrigation,True,70.0,2015-06-08,2035-09-30,5800.0,520550.0,7,6,Issued - Active
CRC157761,Take Groundwater,A,irrigation,True,130.0,2015-06-25,2020-06-20,11232.0,529278.0,7,6,Issued - Active
CRC158152,Take Groundwater,A,irrigation,True,265.0,2015-08-06,2039-01-09,4664.57,481832.0,7,6,Issued - Active
CRC158152,Take Surface Water,A,irrigation,False,30.0,2015-08-06,2039-01-09,786.0,166632.0,7,6,Issued - Active
CRC160032,Take Groundwater,A,irrigation,True,105.0,2015-07-22,2040-11-28,9072.0,573751.0,7,6,Issued - Active
CRC161094,Take Groundwater,A,irrigation,True,10.0,2015-08-07,2037-08-23,792.0,72825.0,7,6,Issued - Active
