Wap,Date,SwUsageRate
BX20/0027,2016-08-31,0.00925130045230864
BX20/0027,2016-09-30,0.011056242764699057
BX20/0027,2016-10-31,0.010248685932985857
BX20/0027,2016-11-30,0.018395472768825475
BX20/0027,2016-12-31,0.025188460839019298
BX20/0027,2017-01-31,0.02063959592103776
BX20/0027,2017-02-28,0.015919135272210335
BX20/0027,2017-03-31,0.017010616693151438
BX20/0027,2017-04-30,0.01622582264623891
BX20/0027,2017-05-31,0.014453726093903684
BX20/0027,2017-06-30,0.014212915327135082
BX20/0027,2017-07-31,0.00845629417649261
BX20/0027,2017-08-31,0.00925130045230864
BX20/0027,2017-09-30,0.011056242764699057
BX20/0027,2017-10-31,0.010248685932985857
BX20/0027,2017-11-30,0.018395472768825475
BX20/0027,2017-12-31,0.025188460839019298
BX20/0027,2018-01-31,0.02063959592103776
BX20/0027,2018-02-28,0.015919135272210335
BX20/0027,2018-03-31,0.017010616693151438
BX20/0027,2018-04-30,0.01622582264623891
BX20/0027,2018-05-31,0.014453726093903684
BX20/0027,2018-06-30,0.014212915327135082
BX20/0038,2007-07-31,6.422446743382495e-05
BX20/0038,2007-08-31,0.002744969640984936
BX20/0038,2007-09-30,0.003207656285642169
BX20/0038,2007-10-31,0.005050682848680635
BX20/0038,2007-11-30,0.009884292258362515
BX20/0038,2007-12-31,0.01168129557267272
BX20/0038,2008-01-31,0.011371590709567723
BX20/0038,2008-02-29,0.008441319085679579
BX20/0038,2008-03-31,0.006152972019767273
BX20/0038,2008-04-30,0.0040782557929435505
BX20/0038,2008-05-31,0.002361405930060278
BX20/0038,2008-06-30,0.002946623155979508
BX20/0038,2008-07-31,0.0019963507153594
BX20/0038,2008-08-31,0.0027525252132907323
BX20/0038,2008-09-30,0.0032164877776455075
BX20/0038,2008-10-31,0.005064584933019592
BX20/0038,2008-11-30,0.009911506224032439
BX20/0038,2008-12-31,0.011713448523294439
BX20/0038,2009-01-31,0.011402891192660582
BX20/0038,2009-02-28,0.008464559743291867
BX20/0038,2009-03-31,0.006169908172465198
BX20/0038,2009-04-30,0.004089484266388216
BX20/0038,2009-05-31,0.0023679057371916628
BX20/0038,2009-06-30,0.002954735957514811
BX20/0038,2009-07-31,0.0019963507153594
BX20/0038,2009-08-31,0.0027525252132907323
BX20/0038,2009-09-30,0.0032164877776455075
BX20/0038,2009-10-31,0.005064584933019592
BX20/0038,2009-11-30,0.009911506224032439
BX20/0038,2009-12-31,0.011713448523294439
BX20/0038,2010-01-31,0.011402891192660582
BX20/0038,2010-02-28,0.008464559743291867
BX20/0038,2010-03-31,0.006169908172465198
